"filename", "language", "pip requirements", "Python", "CSV", "comment", "blank", "total"
"c:\Users\Quan\Documents\Temp\kltn_be\api\__init__.py", "Python", 0, 0, 0, 1, 0, 1
"c:\Users\Quan\Documents\Temp\kltn_be\api\admin.py", "Python", 0, 1, 0, 1, 2, 4
"c:\Users\Quan\Documents\Temp\kltn_be\api\apps.py", "Python", 0, 13, 0, 3, 3, 19
"c:\Users\Quan\Documents\Temp\kltn_be\api\cleanup_webdriver_window.py", "Python", 0, 9, 0, 0, 4, 13
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0001_initial.py", "Python", 0, 32, 0, 1, 7, 40
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0002_product_image.py", "Python", 0, 19, 0, 1, 6, 26
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0003_remove_product_image_product_embedding_vector_and_more.py", "Python", 0, 27, 0, 1, 6, 34
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0004_product_image_url.py", "Python", 0, 12, 0, 1, 6, 19
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0005_producttest_delete_product.py", "Python", 0, 40, 0, 1, 6, 47
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0006_product_sourcedata_alter_producttest_image_path_and_more.py", "Python", 0, 85, 0, 1, 6, 92
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0007_image_created_at_image_updated_at_and_more.py", "Python", 0, 37, 0, 1, 6, 44
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0008_alter_product_name_alter_product_price.py", "Python", 0, 17, 0, 1, 6, 24
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0009_product_link.py", "Python", 0, 12, 0, 1, 6, 19
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0010_rename_describe_sourcedata_description.py", "Python", 0, 12, 0, 1, 6, 19
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0011_alter_sourcedata_min_page.py", "Python", 0, 12, 0, 1, 6, 19
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0012_sourcedata_key_words.py", "Python", 0, 13, 0, 1, 6, 20
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0013_product_key_words.py", "Python", 0, 13, 0, 1, 6, 20
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0014_remove_product_key_words.py", "Python", 0, 11, 0, 1, 6, 18
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0015_product_key_words.py", "Python", 0, 13, 0, 1, 6, 20
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0016_remove_sourcedata_key_words.py", "Python", 0, 11, 0, 1, 6, 18
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0017_sourcedata_key_words.py", "Python", 0, 13, 0, 1, 6, 20
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0018_image_embedding_vector.py", "Python", 0, 13, 0, 1, 6, 20
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0019_remove_sourcedata_key_words_and_more.py", "Python", 0, 23, 0, 1, 6, 30
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0020_remove_product_key_words_product_source_description.py", "Python", 0, 16, 0, 1, 6, 23
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0021_sourcedata_crawled.py", "Python", 0, 12, 0, 1, 6, 19
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0022_remove_sourcedata_crawled.py", "Python", 0, 11, 0, 1, 6, 18
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0023_sourcedata_crawled.py", "Python", 0, 12, 0, 1, 6, 19
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0024_product_crawled.py", "Python", 0, 12, 0, 1, 6, 19
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0025_category_sourcedata_category.py", "Python", 0, 33, 0, 1, 6, 40
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\0026_remove_sourcedata_category_product_category.py", "Python", 0, 22, 0, 1, 6, 29
"c:\Users\Quan\Documents\Temp\kltn_be\api\migrations\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\Quan\Documents\Temp\kltn_be\api\models.py", "Python", 0, 54, 0, 9, 18, 81
"c:\Users\Quan\Documents\Temp\kltn_be\api\products.csv", "CSV", 0, 0, 81, 0, 1, 82
"c:\Users\Quan\Documents\Temp\kltn_be\api\serializers.py", "Python", 0, 25, 0, 8, 12, 45
"c:\Users\Quan\Documents\Temp\kltn_be\api\tasks.py", "Python", 0, 9, 0, 1, 3, 13
"c:\Users\Quan\Documents\Temp\kltn_be\api\test_crawl.py", "Python", 0, 71, 0, 56, 31, 158
"c:\Users\Quan\Documents\Temp\kltn_be\api\tests.py", "Python", 0, 9, 0, 0, 4, 13
