"filename", "language", "pip requirements", "Python", "comment", "blank", "total"
"c:\Users\Quan\Documents\Temp\kltn_be\api\crawl_shopee.py", "Python", 0, 320, 63, 69, 452
"c:\Users\Quan\Documents\Temp\kltn_be\api\execute.py", "Python", 0, 6, 1, 2, 9
"c:\Users\Quan\Documents\Temp\kltn_be\api\find_similar.py", "Python", 0, 26, 3, 11, 40
"c:\Users\Quan\Documents\Temp\kltn_be\api\scheduler_jobs.py", "Python", 0, 12, 0, 1, 13
"c:\Users\Quan\Documents\Temp\kltn_be\api\serializers.py", "Python", 0, 19, 0, 2, 21
"c:\Users\Quan\Documents\Temp\kltn_be\api\tasks.py", "Python", 0, -9, -1, -3, -13
"c:\Users\Quan\Documents\Temp\kltn_be\api\test_crawl.py", "Python", 0, 22, 9, -8, 23
"c:\Users\Quan\Documents\Temp\kltn_be\api\tests.py", "Python", 0, 22, 1, 3, 26
"c:\Users\Quan\Documents\Temp\kltn_be\api\urls.py", "Python", 0, 0, 1, 0, 1
"c:\Users\Quan\Documents\Temp\kltn_be\api\utils.py", "Python", 0, -227, -20, -44, -291
"c:\Users\Quan\Documents\Temp\kltn_be\api\views.py", "Python", 0, -18, -1, 0, -19
"c:\Users\Quan\Documents\Temp\kltn_be\kltn_be\settings.py", "Python", 0, -1, -20, -1, -22
"c:\Users\Quan\Documents\Temp\kltn_be\requirements.txt", "pip requirements", 36, 0, 0, 0, 36
"Total", "-", 36, 172, 36, 32, 276
